entry_id,source_entry_id,person_id,normalization input,listed as,book,author,edition,year
Equiano-Interesting-7-0546,Equiano-Interesting-7-0546,Equiano-Interesting-7-0546,"William Smyth, Esq.","William Smyth, Esq.",Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0547,Equiano-Interesting-7-0547,Equiano-Interesting-7-0547,"James Stewart, Esq.","James Stewart, Esq.",Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0548,Equiano-Interesting-7-0548,Equiano-Interesting-7-0548,"Right Hon. David La Touche, Esq. jun.","Right Hon. David La Touche, Esq. jun.",Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0549,Equiano-Interesting-7-0549,Equiano-Interesting-7-0549,Lady Cecilia La Touche,Lady Cecilia La Touche,Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0550,Equiano-Interesting-7-0550,Equiano-Interesting-7-0550,Rev. Dr. Trail of Lisborn,Rev. Dr. Trail of Lisborn,Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0551,Equiano-Interesting-7-0551,Equiano-Interesting-7-0551,"JamesNapperTandy,Esq.","JamesNapperTandy,Esq.",Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0552,Equiano-Interesting-7-0552,Equiano-Interesting-7-0552,John Walker,John Walker,Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0553,Equiano-Interesting-7-0553,Equiano-Interesting-7-0553,"Robert Waller, Esq.","Robert Waller, Esq.",Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0554,Equiano-Interesting-7-0554,Equiano-Interesting-7-0554,Joseph WIlliams,Joseph WIlliams,Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0555,Equiano-Interesting-7-0555,Equiano-Interesting-7-0555,"Joseph C. Walker, Esq.","Joseph C. Walker, Esq.",Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0556,Equiano-Interesting-7-0556,Equiano-Interesting-7-0556,Hon. Lord. Ankerville,Hon. Lord. Ankerville,Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0557,Equiano-Interesting-7-0557,Equiano-Interesting-7-0557,Mr. Robert Ainslie,Mr. Robert Ainslie,Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0558,Equiano-Interesting-7-0558,Equiano-Interesting-7-0558,Mr. William Alexander,Mr. William Alexander,Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0559,Equiano-Interesting-7-0559,Equiano-Interesting-7-0559,Mr. Alexander Allison,Mr. Alexander Allison,Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0560,Equiano-Interesting-7-0560,Equiano-Interesting-7-0560,Mr. Roger Ayton,Mr. Roger Ayton,Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0561,Equiano-Interesting-7-0561,Equiano-Interesting-7-0561,Professor Anderson of Glasgow,Professor Anderson of Glasgow,Interesting Narrative,"Equiano, Olaudah",7,1793
Equiano-Interesting-7-0562,Equiano-Interesting-7-0562,Equiano-Interesting-7-0562,Mr. Arrat of ditto,Mr. Arrat of ditto,Interesting Narrative,"Equiano, Olaudah",7,1793
